,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Gabriel Deck,12,5,1,23,60.0%,100.0%,1,4,1,2,0,17
1,Fabien Causeur,12,2,4,16,80.0%,-,1,1,2,1,0,16
2,Guerschon Yabusele,12,4,2,31,33.3%,83.3%,1,3,1,0,0,10
3,Sergio Llull,12,1,5,21,33.3%,75.0%,0,1,2,0,0,9
4,Walter Tavares,8,2,3,21,80.0%,-,1,1,2,0,0,10
5,Jeffery Taylor,8,0,2,15,60.0%,-,0,0,0,0,0,8
6,Adam Hanga,6,2,4,12,50.0%,50.0%,0,2,0,0,0,9
7,Alberto Abalde,6,0,1,16,50.0%,-,0,0,1,1,0,5
8,Anthony Randolph,4,2,1,13,25.0%,50.0%,0,2,0,1,0,4
9,Rudy Fernandez,3,2,2,14,33.3%,-,0,2,1,0,0,4
10,Nigel Williams-Goss,3,0,0,6,50.0%,-,0,0,0,0,0,2
11,Vincent Poirier,2,1,2,13,-,100.0%,0,1,1,0,1,5
