,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Vincent Poirier,24,7,1,20,69.2%,100.0%,0,7,0,0,2,30
1,Nigel Williams-Goss,18,5,3,33,63.6%,100.0%,1,4,2,2,0,22
2,Sergio Llull,8,5,1,23,27.3%,50.0%,1,4,2,0,0,2
3,Guerschon Yabusele,6,5,3,35,33.3%,100.0%,1,4,0,0,0,12
4,Walter Tavares,6,3,0,19,50.0%,0.0%,1,2,1,0,1,5
5,Rudy Fernandez,5,3,0,10,25.0%,100.0%,1,2,0,0,0,5
6,Adam Hanga,4,3,1,26,33.3%,-,1,2,3,1,1,3
7,Jeffery Taylor,3,2,3,19,100.0%,-,0,2,0,1,0,9
8,Anthony Randolph,2,0,0,5,100.0%,-,0,0,0,0,0,2
9,Juan Nunez,2,0,1,5,100.0%,-,0,0,2,0,0,1
10,Carlos Alocen,2,0,0,5,0.0%,100.0%,0,0,0,0,0,1
