,Player,Puntos,Rebotes,Asistencias,Perdidas,Robos,Tapones
288,Nigel Williams-Goss,0.02667,0.02381,0.08333,0.10526,0.0,0.0
289,Juan Nunez,0.0,0.02381,0.0,0.15789,0.0,0.0
293,Nigel Williams-Goss,0.1,0.07407,0.35,0.0,0.0,0.0
297,Thomas Heurtel,0.05556,0.03704,0.1,0.2,0.0,0.0
302,Thomas Heurtel,0.14865,0.02273,0.20833,0.26667,0.0,0.0
305,Nigel Williams-Goss,0.09459,0.06818,0.16667,0.06667,0.0,0.0
307,Sergio Llull,0.04054,0.04545,0.125,0.06667,0.0,0.0
310,Thomas Heurtel,0.22826,0.1,0.27273,0.0,0.33333,0.0
317,Nigel Williams-Goss,0.04348,0.05,0.0,0.14286,0.0,0.0
320,Sergio Llull,0.0,0.0,0.27273,0.14286,0.0,0.0
321,Juan Nunez,0.0,0.0,0.0,0.0,0.0,0.0
322,Thomas Heurtel,0.2093,0.12121,0.0,0.4,0.0,0.0
323,Sergio Llull,0.17442,0.0,0.29412,0.0,0.25,0.0
332,Nigel Williams-Goss,0.0,0.0,0.05882,0.0,0.0,0.0
333,Sergio Llull,0.22034,0.0625,0.0,0.16667,0.0,0.0
337,Thomas Heurtel,0.08475,0.0625,0.4,0.0,0.0,0.0
338,Nigel Williams-Goss,0.0678,0.1875,0.1,0.0,0.0,0.125
346,Sergio Llull,0.13636,0.04762,0.18519,0.18182,0.0,0.0
353,Nigel Williams-Goss,0.03409,0.0,0.0,0.0,0.0,0.0
360,Sergio Llull,0.10309,0.06897,0.21429,0.0,0.0,0.0
365,Sergio Llull,0.32836,0.02439,0.0,0.07692,0.0,0.0
372,Nigel Williams-Goss,0.02985,0.02439,0.125,0.07692,0.4,0.0
377,Nigel Williams-Goss,0.15556,0.11765,0.16667,0.2,0.11111,0.0
385,Sergio Llull,0.02222,0.11765,0.29167,0.2,0.0,0.0
386,Juan Nunez,0.0,0.0,0.04167,0.0,0.0,0.0
390,Nigel Williams-Goss,0.13095,0.14815,0.4,0.14286,0.2,0.0
396,Sergio Llull,0.0,0.0,0.15,0.0,0.0,0.0
398,Sergio Llull,0.17895,0.05128,0.15,0.16667,0.09091,0.0
402,Nigel Williams-Goss,0.08421,0.0,0.15,0.08333,0.0,0.0
408,Juan Nunez,0.02105,0.0,0.15,0.08333,0.0,0.0
410,Nigel Williams-Goss,0.1831,0.07143,0.21429,0.21429,0.25,0.0
412,Sergio Llull,0.11268,0.0,0.14286,0.07143,0.0,0.0
417,Juan Nunez,0.02817,0.04762,0.07143,0.21429,0.0,0.0
419,Sergio Llull,0.2069,0.07895,0.24,0.09091,0.16667,0.0
423,Nigel Williams-Goss,0.10345,0.07895,0.04,0.27273,0.0,0.0
