,Player,Puntos,Rebotes,Asistencias,Perdidas,Robos,Tapones
250,Gabriel Deck,0.16304,0.16216,0.06667,0.2,0.25,0.0
256,Alberto Abalde,0.03261,0.0,0.0,0.1,0.0,0.0
257,Rudy Fernandez,0.02174,0.16216,0.2,0.0,0.25,0.0
258,Adam Hanga,0.02174,0.0,0.0,0.0,0.0,0.0
260,Alberto Abalde,0.15294,0.10256,0.04348,0.09091,0.0,0.0
263,Gabriel Deck,0.08235,0.17949,0.26087,0.09091,0.33333,0.0
264,Adam Hanga,0.08235,0.17949,0.17391,0.0,0.0,0.0
269,Rudy Fernandez,0.24286,0.10204,0.23529,0.0,0.0,0.0
273,Gabriel Deck,0.11429,0.08163,0.0,0.09091,0.4,0.0
276,Adam Hanga,0.02857,0.08163,0.0,0.0,0.0,0.0
280,Gabriel Deck,0.28,0.14286,0.0,0.15789,0.0,0.0
282,Rudy Fernandez,0.2,0.14286,0.25,0.15789,0.5,0.0
290,Gabriel Deck,0.25556,0.37037,0.2,0.4,0.33333,0.0
292,Adam Hanga,0.15556,0.07407,0.0,0.2,0.0,0.0
295,Rudy Fernandez,0.06667,0.03704,0.0,0.0,0.0,0.25
303,Gabriel Deck,0.13514,0.13636,0.0,0.06667,0.0,0.0
304,Adam Hanga,0.10811,0.15909,0.08333,0.13333,0.125,0.4
308,Rudy Fernandez,0.02703,0.02273,0.16667,0.0,0.25,0.0
311,Gabriel Deck,0.17391,0.25,0.09091,0.0,0.0,0.0
315,Jeffery Taylor,0.06522,0.05,0.0,0.14286,0.16667,0.0
316,Adam Hanga,0.05435,0.1,0.04545,0.14286,0.0,0.0
318,Rudy Fernandez,0.02174,0.0,0.04545,0.0,0.16667,0.0
319,Fabien Causeur,0.02174,0.025,0.04545,0.14286,0.0,0.0
325,Gabriel Deck,0.13953,0.09091,0.0,0.3,0.0,0.0
326,Rudy Fernandez,0.10465,0.12121,0.35294,0.0,0.0,0.5
329,Jeffery Taylor,0.04651,0.06061,0.0,0.0,0.0,0.0
330,Fabien Causeur,0.02326,0.0,0.0,0.0,0.0,0.0
335,Fabien Causeur,0.18644,0.03125,0.1,0.33333,0.5,0.0
340,Gabriel Deck,0.05085,0.0,0.0,0.0,0.0,0.0
341,Jeffery Taylor,0.0,0.0,0.0,0.08333,0.25,0.0
342,Rudy Fernandez,0.0,0.09375,0.2,0.16667,0.25,0.0
343,Gabriel Deck,0.13636,0.2381,0.03704,0.09091,0.4,0.0
344,Fabien Causeur,0.13636,0.09524,0.14815,0.18182,0.2,0.0
348,Jeffery Taylor,0.09091,0.0,0.07407,0.0,0.0,0.0
349,Adam Hanga,0.06818,0.09524,0.14815,0.0,0.0,0.0
350,Alberto Abalde,0.06818,0.0,0.03704,0.09091,0.2,0.0
352,Rudy Fernandez,0.03409,0.09524,0.07407,0.09091,0.0,0.0
355,Gabriel Deck,0.17526,0.13793,0.14286,0.09091,0.0,0.0
359,Adam Hanga,0.1134,0.06897,0.21429,0.27273,0.18182,0.0
361,Alberto Abalde,0.07216,0.03448,0.28571,0.18182,0.09091,0.0
363,Jeffery Taylor,0.04124,0.10345,0.0,0.0,0.09091,0.0
364,Fabien Causeur,0.03093,0.03448,0.0,0.27273,0.18182,0.0
366,Fabien Causeur,0.19403,0.02439,0.125,0.15385,0.2,0.0
367,Gabriel Deck,0.1194,0.21951,0.125,0.15385,0.0,0.0
370,Adam Hanga,0.04478,0.07317,0.125,0.0,0.2,0.0
373,Jeffery Taylor,0.02985,0.07317,0.0,0.07692,0.0,0.0
375,Alberto Abalde,0.0,0.04878,0.0,0.07692,0.0,0.0
376,Gabriel Deck,0.16667,0.20588,0.08333,0.1,0.0,0.0
381,Alberto Abalde,0.11111,0.02941,0.16667,0.3,0.22222,0.0
383,Rudy Fernandez,0.03333,0.11765,0.04167,0.0,0.22222,0.0
384,Fabien Causeur,0.03333,0.02941,0.08333,0.0,0.0,0.0
387,Fabien Causeur,0.2381,0.14815,0.25,0.07143,0.2,0.0
389,Rudy Fernandez,0.14286,0.11111,0.05,0.0,0.2,0.0
391,Adam Hanga,0.13095,0.07407,0.0,0.07143,0.2,0.2
392,Alberto Abalde,0.07143,0.03704,0.05,0.07143,0.0,0.0
397,Jeffery Taylor,0.0,0.0,0.0,0.0,0.0,0.0
401,Adam Hanga,0.09474,0.05128,0.15,0.08333,0.09091,0.0
404,Alberto Abalde,0.06316,0.17949,0.1,0.0,0.27273,0.0
405,Fabien Causeur,0.06316,0.10256,0.1,0.16667,0.0,0.0
407,Rudy Fernandez,0.03158,0.05128,0.0,0.0,0.09091,0.0
413,Adam Hanga,0.09859,0.16667,0.14286,0.07143,0.125,0.25
414,Alberto Abalde,0.09859,0.07143,0.14286,0.07143,0.25,0.0
418,Fabien Causeur,0.0,0.0,0.07143,0.14286,0.125,0.0
424,Adam Hanga,0.09195,0.26316,0.16,0.0,0.33333,0.14286
425,Alberto Abalde,0.06897,0.05263,0.12,0.0,0.0,0.0
426,Fabien Causeur,0.04598,0.05263,0.2,0.09091,0.16667,0.14286
427,Rudy Fernandez,0.03448,0.02632,0.12,0.09091,0.16667,0.14286
