,Player,Puntos,Rebotes,Asistencias,Perdidas,Robos,Tapones
6,Nigel Williams-Goss,0.05882,0.1,0.09524,0.06667,0.33333,0.0
7,Vincent Poirier,0.05882,0.075,0.04762,0.0,0.0,0.0
8,Trey Thompkins,0.05882,0.025,0.0,0.0,0.0,0.0
9,Jeffery Taylor,0.03529,0.0,0.04762,0.06667,0.0,0.5
10,Anthony Randolph,0.03529,0.05,0.0,0.0,0.0,0.0
11,Carlos Alocen,0.0,0.125,0.04762,0.13333,0.0,0.0
0,Guerschon Yabusele,0.2,0.18868,0.04762,0.10526,0.25,0.16667
1,Vincent Poirier,0.11111,0.26415,0.04762,0.10526,0.0,0.16667
2,Thomas Heurtel,0.11111,0.0,0.42857,0.05263,0.0,0.0
3,Trey Thompkins,0.1,0.0566,0.0,0.10526,0.0,0.0
4,Sergio Llull,0.1,0.01887,0.0,0.10526,0.0,0.0
5,Walter Tavares,0.08889,0.11321,0.0,0.10526,0.25,0.66667
6,Gabriel Deck,0.07778,0.11321,0.09524,0.10526,0.25,0.0
7,Rudy Fernandez,0.06667,0.13208,0.2381,0.0,0.25,0.0
8,Alberto Abalde,0.06667,0.07547,0.04762,0.10526,0.0,0.0
9,Jeffery Taylor,0.06667,0.03774,0.04762,0.15789,0.0,0.0
10,Carlos Alocen,0.01111,0.0,0.04762,0.05263,0.0,0.0
11,Anthony Randolph,0.0,0.0,0.0,0.0,0.0,0.0
0,Fabien Causeur,0.19277,0.13793,0.2,0.15385,0.5,0.0
1,Gabriel Deck,0.18072,0.17241,0.1,0.07692,0.0,0.0
2,Anthony Randolph,0.15663,0.10345,0.0,0.07692,0.0,0.0
3,Thomas Heurtel,0.14458,0.06897,0.3,0.07692,0.25,0.0
4,Walter Tavares,0.09639,0.24138,0.0,0.0,0.0,0.33333
5,Trey Thompkins,0.09639,0.03448,0.0,0.15385,0.0,0.0
6,Alberto Abalde,0.06024,0.10345,0.0,0.0,0.0,0.0
7,Guerschon Yabusele,0.03614,0.0,0.1,0.07692,0.0,0.0
8,Vincent Poirier,0.0241,0.06897,0.0,0.23077,0.0,0.66667
9,Carlos Alocen,0.01205,0.0,0.3,0.0,0.25,0.0
10,Jeffery Taylor,0.0,0.06897,0.0,0.15385,0.0,0.0
0,Thomas Heurtel,0.26667,0.04762,0.2,0.125,0.0,0.0
1,Walter Tavares,0.14667,0.21429,0.0,0.25,0.0,0.8
2,Guerschon Yabusele,0.14667,0.21429,0.06667,0.125,0.6,0.2
3,Sergio Llull,0.10667,0.09524,0.26667,0.125,0.0,0.0
4,Rudy Fernandez,0.10667,0.02381,0.06667,0.0,0.0,0.0
5,Nigel Williams-Goss,0.08,0.07143,0.2,0.25,0.2,0.0
6,Fabien Causeur,0.06667,0.07143,0.0,0.125,0.0,0.0
7,Vincent Poirier,0.04,0.07143,0.06667,0.0,0.2,0.0
8,Alberto Abalde,0.02667,0.14286,0.13333,0.0,0.0,0.0
9,Anthony Randolph,0.01333,0.04762,0.0,0.0,0.0,0.0
0,Guerschon Yabusele,0.15294,0.06667,0.05556,0.0,0.0,0.0
1,Sergio Llull,0.15294,0.03333,0.05556,0.09091,0.0,0.0
2,Trey Thompkins,0.14118,0.06667,0.0,0.09091,0.0,0.0
3,Vincent Poirier,0.11765,0.26667,0.16667,0.18182,0.42857,0.0
4,Fabien Causeur,0.10588,0.0,0.05556,0.0,0.0,0.0
5,Rudy Fernandez,0.09412,0.06667,0.05556,0.0,0.42857,0.0
6,Walter Tavares,0.09412,0.13333,0.0,0.18182,0.0,1.0
7,Thomas Heurtel,0.07059,0.13333,0.33333,0.0,0.0,0.0
8,Alberto Abalde,0.07059,0.16667,0.11111,0.09091,0.14286,0.0
9,Carlos Alocen,0.0,0.06667,0.05556,0.09091,0.0,0.0
10,Nigel Williams-Goss,0.0,0.0,0.11111,0.27273,0.0,0.0
0,Sergio Llull,0.1828,0.03704,0.125,0.16667,0.0,0.0
1,Rudy Fernandez,0.17204,0.14815,0.1875,0.0,0.25,0.25
2,Guerschon Yabusele,0.16129,0.07407,0.1875,0.25,0.125,0.0
3,Thomas Heurtel,0.13978,0.14815,0.25,0.25,0.125,0.0
4,Walter Tavares,0.11828,0.11111,0.0,0.0,0.125,0.25
5,Vincent Poirier,0.09677,0.2963,0.0,0.0,0.125,0.5
6,Nigel Williams-Goss,0.08602,0.11111,0.0625,0.0,0.0,0.0
7,Fabien Causeur,0.04301,0.0,0.0625,0.16667,0.0,0.0
8,Alberto Abalde,0.0,0.03704,0.125,0.0,0.125,0.0
9,Carlos Alocen,0.0,0.0,0.0,0.0,0.0,0.0
10,Anthony Randolph,0.0,0.03704,0.0,0.16667,0.125,0.0
0,Walter Tavares,0.27451,0.28125,0.18182,0.23077,0.6,1.0
1,Sergio Llull,0.23529,0.15625,0.0,0.15385,0.2,0.0
2,Rudy Fernandez,0.17647,0.09375,0.0,0.0,0.0,0.0
3,Carlos Alocen,0.07843,0.0625,0.45455,0.0,0.2,0.0
4,Trey Thompkins,0.05882,0.125,0.0,0.07692,0.0,0.0
5,Juan Nunez,0.05882,0.03125,0.09091,0.0,0.0,0.0
6,Nigel Williams-Goss,0.03922,0.09375,0.0,0.07692,0.0,0.0
