,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Guerschon Yabusele,17,8,3,27,72.7%,-,2,6,1,0,0,24
1,Alberto Abalde,15,4,3,23,66.7%,100.0%,0,4,2,1,0,19
2,Anthony Randolph,13,12,0,13,66.7%,-,6,6,2,0,0,20
3,Vincent Poirier,11,8,0,27,50.0%,50.0%,4,4,1,2,2,15
4,Jeffery Taylor,10,1,1,28,50.0%,100.0%,1,0,2,2,0,9
5,Trey Thompkins,10,0,2,13,57.1%,-,0,0,0,0,0,9
6,Fabien Causeur,7,2,2,20,60.0%,-,0,2,1,0,0,8
7,Sergio Llull,3,2,3,15,20.0%,-,0,2,2,0,0,2
8,Thomas Heurtel,3,1,3,17,20.0%,-,0,1,2,1,0,2
9,Adam Hanga,0,0,2,11,0.0%,-,0,0,0,0,0,0
10,Nigel Williams-Goss,0,0,1,7,0.0%,-,0,0,0,0,0,-1
