,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Thomas Heurtel,20,1,3,19,58.3%,100.0%,1,0,3,0,0,16
1,Guerschon Yabusele,16,5,2,36,70.0%,-,1,4,1,0,0,19
2,Sergio Llull,11,4,4,18,42.9%,75.0%,0,4,2,0,0,12
3,Jeffery Taylor,11,0,1,21,66.7%,-,0,0,0,1,1,12
4,Walter Tavares,8,7,1,22,100.0%,-,1,6,1,0,1,16
5,Adam Hanga,6,2,4,18,50.0%,50.0%,1,1,0,1,0,10
6,Nigel Williams-Goss,6,0,1,7,100.0%,0.0%,0,0,0,0,0,5
7,Vincent Poirier,5,6,1,15,40.0%,50.0%,2,4,1,0,0,7
8,Alberto Abalde,5,4,1,19,33.3%,-,0,4,0,0,0,6
9,Fabien Causeur,2,0,1,9,50.0%,-,0,0,0,0,0,2
10,Anthony Randolph,0,0,0,5,0.0%,-,0,0,0,0,0,-1
11,Rudy Fernandez,0,0,0,10,0.0%,-,0,0,0,0,0,-2
