,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Guerschon Yabusele,14,7,3,38,38.5%,-,1,6,3,3,1,17
1,Vincent Poirier,13,4,1,18,71.4%,75.0%,1,3,1,2,0,16
2,Thomas Heurtel,11,1,5,18,44.4%,-,0,1,4,0,0,8
3,Gabriel Deck,10,6,0,33,44.4%,50.0%,2,4,1,0,0,9
4,Adam Hanga,8,7,2,27,40.0%,-,1,6,2,1,2,12
5,Nigel Williams-Goss,7,3,4,17,40.0%,100.0%,1,2,1,0,0,10
6,Walter Tavares,6,12,2,21,50.0%,0.0%,8,4,1,0,2,15
7,Sergio Llull,3,2,3,12,16.7%,-,0,2,1,0,0,2
8,Rudy Fernandez,2,1,4,15,20.0%,-,0,1,0,2,0,5
9,Trey Thompkins,0,1,0,2,0.0%,-,1,0,1,0,0,-1
