,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Gabriel Deck,17,4,2,32,83.3%,100.0%,0,4,1,0,0,21
1,Vincent Poirier,14,6,1,24,75.0%,66.7%,1,5,1,1,1,17
2,Walter Tavares,14,5,0,19,44.4%,60.0%,5,0,1,0,1,10
3,Guerschon Yabusele,13,3,0,33,57.1%,80.0%,1,2,0,2,2,16
4,Adam Hanga,11,2,3,29,33.3%,100.0%,0,2,3,2,0,9
5,Sergio Llull,10,2,3,23,20.0%,100.0%,0,2,0,0,0,7
6,Alberto Abalde,7,1,4,23,28.6%,100.0%,0,1,2,1,0,6
7,Anthony Randolph,4,2,1,8,100.0%,100.0%,0,2,0,2,0,9
8,Jeffery Taylor,4,3,0,20,40.0%,-,2,1,0,1,0,5
9,Fabien Causeur,3,1,0,14,50.0%,-,0,1,3,2,0,2
