,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Thomas Heurtel,10,1,1,14,62.5%,-,0,1,1,0,0,-
1,Rudy Fernandez,6,2,1,11,33.3%,50.0%,0,2,0,0,0,-
2,Alberto Abalde,8,0,2,16,40.0%,-,0,0,2,1,0,-
3,Adam Hanga,3,3,1,14,33.3%,0.0%,2,1,0,2,0,-
4,Gabriel Deck,8,5,0,31,30.0%,66.6%,2,3,2,1,0,-
5,Vincent Poirier,4,2,1,18,50.0%,-,0,2,0,0,1,-
6,Walter Tavares,5,4,0,20,33.3%,50.0%,2,2,5,1,1,-
7,Sergio Llull,6,0,1,10,22.2%,100.0%,0,0,2,0,0,-
8,Guerschon Yabusele,4,5,0,25,50.0%,50.0%,1,4,1,1,0,-
9,Trey Thompkins,3,1,0,9,50.0%,-,0,1,0,0,0,-
10,Jeffery Taylor,2,5,0,30,25.0%,-,2,3,1,3,1,-
