,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Walter Tavares,17,7,1,24,100.0%,100.0%,1,6,4,2,1,24
1,Rudy Fernandez,14,3,2,22,55.6%,-,0,3,0,0,0,15
2,Anthony Randolph,13,4,1,22,37.5%,100.0%,1,3,1,0,1,13
3,Nigel Williams-Goss,9,3,5,23,66.7%,50.0%,0,3,0,0,0,14
4,Adam Hanga,9,1,2,25,80.0%,-,1,0,1,0,1,11
5,Sergio Llull,6,4,4,17,25.0%,-,0,4,3,0,0,5
6,Juan Nunez,5,0,1,6,100.0%,-,0,0,1,1,0,6
7,Jeffery Taylor,5,1,1,17,66.7%,-,0,1,2,0,0,4
8,Vincent Poirier,4,9,1,16,25.0%,100.0%,3,6,0,0,0,11
9,Fabien Causeur,3,3,2,18,25.0%,50.0%,0,3,0,0,0,4
10,Eli Ndiaye,2,0,1,2,100.0%,-,0,0,0,0,0,3
11,Tristan Vukcevic,0,2,0,8,0.0%,-,0,2,0,0,0,0
