,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Rudy Fernandez,17,5,4,21,75.0%,50.0%,1,4,0,0,0,23
1,Guerschon Yabusele,12,6,1,32,55.6%,-,2,4,1,0,1,15
2,Vincent Poirier,10,12,0,19,41.7%,-,7,5,0,1,0,16
3,Sergio Llull,9,1,4,23,27.3%,50.0%,0,1,1,1,0,4
4,Gabriel Deck,8,4,0,23,60.0%,50.0%,0,4,1,2,0,10
5,Walter Tavares,7,11,0,21,50.0%,25.0%,4,7,3,1,0,10
6,Thomas Heurtel,3,0,7,17,14.3%,100.0%,0,0,0,0,0,4
7,Adam Hanga,2,4,0,21,0.0%,100.0%,1,3,0,0,0,3
8,Anthony Randolph,2,2,0,7,0.0%,100.0%,1,1,1,0,1,1
10,Nigel Williams-Goss,0,4,1,12,0.0%,-,1,3,3,0,0,-1
11,Juan Nunez,0,0,0,3,0.0%,-,0,0,1,0,0,-2
