,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Sergio Llull,20,3,2,21,44.4%,100.0%,0,3,1,0,0,14
1,Guerschon Yabusele,16,3,1,35,66.7%,-,1,2,1,1,0,17
2,Gabriel Deck,15,6,1,30,100.0%,60.0%,1,5,2,1,0,19
3,Nigel Williams-Goss,12,4,3,29,62.5%,100.0%,1,3,1,0,0,15
4,Thomas Heurtel,8,1,2,16,42.9%,-,0,1,1,1,0,7
5,Walter Tavares,6,9,3,15,33.3%,100.0%,3,6,0,0,0,14
6,Vincent Poirier,4,4,0,25,100.0%,-,1,3,1,0,3,10
7,Trey Thompkins,4,1,0,15,50.0%,100.0%,1,0,2,0,0,2
8,Alberto Abalde,3,0,0,16,20.0%,-,0,0,1,0,0,-2
9,Rudy Fernandez,2,6,3,18,16.7%,-,1,5,0,1,0,7
10,Adam Hanga,2,0,0,6,100.0%,-,0,0,0,0,0,2
