,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Fabien Causeur,20,4,5,26,63.6%,100.0%,0,4,1,1,0,25
1,Guerschon Yabusele,15,4,1,30,75.0%,-,2,2,4,1,0,15
2,Rudy Fernandez,12,3,1,16,50.0%,-,0,3,0,1,0,13
3,Nigel Williams-Goss,11,4,8,28,36.4%,100.0%,0,4,2,1,0,15
4,Adam Hanga,11,2,0,25,44.4%,100.0%,0,2,1,1,1,9
5,Alberto Abalde,6,1,1,15,66.7%,-,1,0,1,0,0,6
6,Walter Tavares,4,6,0,27,66.7%,-,1,5,3,0,2,8
7,Anthony Randolph,3,2,0,8,50.0%,-,0,2,0,0,0,4
8,Vincent Poirier,2,1,1,13,25.0%,-,0,1,2,0,2,1
9,Sergio Llull,0,0,3,12,0.0%,-,0,0,0,0,0,1
10,Jeffery Taylor,0,0,0,1,-,-,0,0,0,0,0,0
