,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Walter Tavares,16,4,1,23,80.0%,100.0%,1,3,1,1,2,22
1,Thomas Heurtel,9,1,8,19,27.3%,100.0%,0,1,2,0,0,8
2,Rudy Fernandez,8,1,2,17,66.7%,100.0%,0,1,1,3,0,12
3,Gabriel Deck,8,5,0,23,75.0%,100.0%,1,4,1,0,0,11
4,Sergio Llull,6,1,1,11,20.0%,80.0%,0,1,1,1,0,3
5,Adam Hanga,5,2,0,11,40.0%,-,1,1,0,0,2,6
6,Guerschon Yabusele,5,4,0,22,20.0%,75.0%,1,3,2,2,0,4
7,Anthony Randolph,4,0,1,8,100.0%,-,0,0,0,0,0,5
8,Nigel Williams-Goss,4,2,2,15,20.0%,100.0%,0,2,1,0,0,3
9,Jeffery Taylor,3,2,0,19,25.0%,-,0,2,1,0,0,1
10,Vincent Poirier,2,2,0,16,33.3%,-,0,2,0,0,1,3
11,Alberto Abalde,2,3,1,15,20.0%,-,0,3,0,0,0,2
