,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Sergio Llull,22,1,0,28,36.8%,100.0%,0,1,1,0,0,10
1,Fabien Causeur,13,1,1,22,54.5%,-,1,0,2,1,0,9
2,Gabriel Deck,8,9,1,25,30.0%,-,3,6,2,0,0,9
3,Anthony Randolph,7,5,0,14,40.0%,100.0%,1,4,0,0,0,9
4,Walter Tavares,6,9,2,27,50.0%,50.0%,3,6,2,1,1,13
5,Adam Hanga,3,3,1,16,0.0%,75.0%,0,3,0,1,0,5
6,Guerschon Yabusele,3,2,2,14,20.0%,-,0,2,3,0,0,0
7,Nigel Williams-Goss,2,1,1,11,33.3%,-,0,1,1,2,0,3
8,Jeffery Taylor,2,3,0,15,33.3%,-,1,2,1,0,0,2
9,Vincent Poirier,1,5,0,15,0.0%,50.0%,3,2,0,0,1,2
10,Alberto Abalde,0,2,0,12,0.0%,-,0,2,1,0,0,0
