,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Walter Tavares,12,3,1,21,100.0%,-,0,3,0,0,1,17
1,Sergio Llull,11,0,1,11,40.0%,-,0,0,1,0,0,5
2,Vincent Poirier,8,4,1,17,75.0%,66.7%,2,2,0,2,0,13
3,Alberto Abalde,8,3,3,21,42.9%,50.0%,0,3,1,0,0,8
4,Jeffery Taylor,8,1,0,19,60.0%,-,1,0,1,0,0,6
5,Guerschon Yabusele,7,5,2,30,60.0%,-,0,5,2,0,1,11
6,Nigel Williams-Goss,7,3,3,21,28.6%,100.0%,0,3,1,0,0,7
7,Gabriel Deck,4,2,0,10,100.0%,100.0%,0,2,2,0,0,4
8,Thomas Heurtel,4,3,2,17,12.5%,50.0%,1,2,2,0,0,-1
9,Adam Hanga,3,2,0,19,0.0%,100.0%,1,1,0,0,0,3
10,Rudy Fernandez,3,4,0,9,33.3%,33.3%,2,2,2,0,1,2
11,Anthony Randolph,0,2,0,5,0.0%,-,0,2,0,0,0,1
