,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Nigel Williams-Goss,17,6,5,34,44.4%,-,0,6,1,1,0,18
1,Walter Tavares,15,10,1,36,54.5%,100.0%,4,6,0,2,4,27
2,Urban Klavzar,10,1,0,23,60.0%,50.0%,0,1,0,0,0,7
3,Sergio Llull,10,4,3,31,25.0%,50.0%,0,4,1,0,0,5
4,Rudy Fernandez,6,5,2,25,28.6%,-,0,5,1,1,0,8
5,Tristan Vukcevic,6,2,0,10,100.0%,50.0%,0,2,1,0,0,6
6,Jeffery Taylor,5,5,0,24,28.6%,-,2,3,0,3,0,8
7,Sediq Garuba,2,1,0,15,33.3%,-,0,1,0,1,0,2
8,Baba Miller,0,1,0,2,-,-,0,1,0,0,0,1
