,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Gabriel Deck,21,6,0,33,60.0%,100.0%,2,4,3,0,0,20
1,Guerschon Yabusele,15,8,1,29,45.5%,100.0%,1,7,0,0,0,18
2,Rudy Fernandez,15,6,3,24,33.3%,100.0%,0,6,3,2,0,15
3,Walter Tavares,6,10,2,24,50.0%,66.7%,4,6,3,1,3,16
4,Vincent Poirier,6,3,0,13,50.0%,100.0%,2,1,1,0,0,6
5,Sergio Llull,4,2,4,27,7.7%,100.0%,0,2,1,1,0,-2
6,Anthony Randolph,3,3,0,11,33.3%,-,1,2,0,0,0,4
7,Thomas Heurtel,3,2,1,14,16.7%,-,1,1,3,0,0,-2
8,Nigel Williams-Goss,2,1,1,17,25.0%,-,0,1,2,0,0,-1
9,Juan Nunez,0,1,0,9,0.0%,-,0,1,3,0,0,-4
