,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Sergio Llull,17,2,3,20,60.0%,-,0,2,2,1,0,17
1,Vincent Poirier,16,10,2,24,80.0%,72.7%,6,4,1,2,2,27
2,Guerschon Yabusele,16,3,0,22,53.8%,100.0%,0,3,2,1,0,12
3,Adam Hanga,9,2,3,16,100.0%,-,0,2,1,1,0,14
4,Nigel Williams-Goss,8,0,3,25,37.5%,-,0,0,1,0,0,5
5,Walter Tavares,6,7,1,12,50.0%,-,4,3,1,2,3,15
6,Alberto Abalde,6,7,2,29,28.6%,100.0%,2,5,0,3,0,13
7,Fabien Causeur,6,4,2,18,66.7%,-,0,4,2,0,0,9
8,Anthony Randolph,6,2,1,15,33.3%,-,0,2,1,0,0,4
9,Rudy Fernandez,3,2,0,15,33.3%,-,0,2,0,1,0,4
10,Juan Nunez,2,0,3,4,100.0%,-,0,0,1,0,0,4
