,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Guerschon Yabusele,20,1,0,20,85.7%,100.0%,0,1,1,0,0,19
1,Alberto Abalde,13,4,1,23,75.0%,100.0%,2,2,1,0,0,16
2,Vincent Poirier,12,10,2,25,37.5%,75.0%,2,8,0,0,1,18
3,Anthony Randolph,10,2,0,20,36.4%,0.0%,0,2,0,1,2,7
4,Gabriel Deck,7,7,6,28,37.5%,-,1,6,1,1,0,15
5,Adam Hanga,7,7,4,24,33.3%,100.0%,2,5,0,0,0,12
6,Walter Tavares,6,5,0,15,100.0%,-,2,3,1,0,1,11
7,Sergio Llull,6,1,2,17,40.0%,-,0,1,1,0,0,5
8,Thomas Heurtel,4,1,6,24,33.3%,100.0%,0,1,5,1,0,5
9,Juan Nunez,0,1,2,5,0.0%,-,0,1,1,0,0,-1
