,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Thomas Heurtel,16,4,4,19,66.7%,100.0%,1,3,2,1,0,20
1,Fabien Causeur,16,5,1,26,66.7%,100.0%,0,5,3,1,0,17
2,Vincent Poirier,11,3,0,18,66.7%,100.0%,2,1,3,2,2,13
3,Alberto Abalde,11,6,1,28,42.9%,80.0%,0,6,2,0,0,11
4,Sergio Llull,8,1,1,11,40.0%,100.0%,0,1,1,0,0,6
5,Guerschon Yabusele,7,2,0,20,40.0%,75.0%,0,2,1,0,0,4
6,Adam Hanga,7,1,0,16,40.0%,100.0%,0,1,1,0,0,4
7,Walter Tavares,5,8,2,22,50.0%,75.0%,3,5,1,2,1,15
8,Carlos Alocen,5,1,0,5,100.0%,-,0,1,1,0,0,5
9,Nigel Williams-Goss,4,2,0,15,40.0%,-,1,1,0,0,0,3
10,Trey Thompkins,2,0,2,20,0.0%,100.0%,0,0,1,0,0,1
