,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Gabriel Deck,23,10,4,40,66.7%,100.0%,3,7,2,1,0,31
1,Guerschon Yabusele,20,5,5,38,42.9%,100.0%,1,4,0,0,0,22
2,Adam Hanga,14,2,0,23,75.0%,-,0,2,1,0,0,13
3,Nigel Williams-Goss,9,2,7,26,40.0%,-,1,1,0,0,0,12
4,Vincent Poirier,8,3,1,17,60.0%,100.0%,2,1,0,2,1,13
5,Rudy Fernandez,6,1,0,21,40.0%,-,0,1,0,0,1,5
6,Walter Tavares,5,3,1,18,50.0%,100.0%,1,2,1,0,2,8
7,Thomas Heurtel,5,1,2,14,28.6%,-,1,0,1,0,0,2
8,Trey Thompkins,0,0,0,1,-,-,0,0,0,0,0,0
9,Anthony Randolph,0,0,0,4,-,-,0,0,0,0,0,0
