,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Walter Tavares,14,11,1,22,62.5%,100.0%,2,9,3,1,1,22
1,Guerschon Yabusele,13,5,2,22,62.5%,-,3,2,2,1,0,16
2,Alberto Abalde,11,2,2,29,55.6%,-,1,1,0,1,0,12
3,Sergio Llull,11,2,3,21,50.0%,-,0,2,2,0,0,10
4,Rudy Fernandez,9,3,4,11,42.9%,100.0%,0,3,0,0,0,12
5,Thomas Heurtel,6,2,4,13,50.0%,100.0%,0,2,4,1,0,7
6,Nigel Williams-Goss,5,4,2,27,50.0%,-,1,3,1,2,0,10
7,Vincent Poirier,5,3,1,12,100.0%,50.0%,1,2,0,0,0,8
8,Trey Thompkins,5,1,0,6,28.6%,-,1,0,0,0,0,1
9,Jeffery Taylor,3,0,1,8,100.0%,-,0,0,1,0,1,4
10,Anthony Randolph,3,2,0,18,33.3%,-,1,1,0,0,0,3
11,Carlos Alocen,0,5,1,11,0.0%,-,1,4,2,0,0,1
