,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Guerschon Yabusele,13,2,1,21,62.5%,100.0%,0,2,0,0,0,13
1,Sergio Llull,13,1,1,19,55.6%,-,0,1,1,0,0,10
2,Trey Thompkins,12,2,0,19,62.5%,-,0,2,1,0,0,10
3,Vincent Poirier,10,8,3,27,71.4%,-,1,7,2,3,0,20
4,Fabien Causeur,9,0,1,18,75.0%,-,0,0,0,0,0,9
5,Rudy Fernandez,8,2,1,11,100.0%,-,1,1,0,3,0,14
6,Walter Tavares,8,4,0,13,50.0%,100.0%,1,3,2,0,1,9
7,Thomas Heurtel,6,4,6,19,40.0%,100.0%,0,4,0,0,0,13
8,Alberto Abalde,6,5,2,29,50.0%,-,0,5,1,1,0,10
9,Carlos Alocen,0,2,1,5,0.0%,-,1,1,1,0,0,0
10,Nigel Williams-Goss,0,0,2,19,0.0%,-,0,0,3,0,0,-2
