,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Walter Tavares,25,6,1,29,100.0%,83.3%,2,4,1,1,0,31
1,Sergio Llull,8,1,4,22,10.0%,100.0%,0,1,1,2,0,5
2,Fabien Causeur,8,2,0,18,37.5%,100.0%,1,1,1,0,0,4
3,Alberto Abalde,7,4,2,19,25.0%,100.0%,2,2,1,0,0,6
4,Nigel Williams-Goss,5,4,1,16,28.6%,-,1,3,0,0,0,5
5,Guerschon Yabusele,4,3,2,31,33.3%,100.0%,1,2,0,1,0,8
6,Thomas Heurtel,4,0,3,10,33.3%,100.0%,0,0,2,0,0,3
7,Adam Hanga,3,6,0,29,11.1%,50.0%,0,6,0,0,0,0
8,Vincent Poirier,2,4,0,9,20.0%,-,3,1,0,1,0,3
9,Carlos Alocen,2,0,0,6,0.0%,100.0%,0,0,0,0,0,1
10,Anthony Randolph,0,0,0,1,-,-,0,0,0,0,0,0
11,Trey Thompkins,0,2,0,10,0.0%,-,0,2,1,0,1,-1
