,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Walter Tavares,14,9,2,32,85.7%,66.7%,5,4,3,3,1,24
1,Sergio Llull,12,5,0,29,20.0%,80.0%,1,4,2,1,0,3
2,Rudy Fernandez,9,3,0,20,30.0%,100.0%,1,2,0,0,0,5
3,Carlos Alocen,4,2,5,24,20.0%,100.0%,1,1,0,1,0,8
4,Trey Thompkins,3,4,0,12,25.0%,-,0,4,1,0,0,3
5,Juan Nunez,3,1,1,10,20.0%,-,0,1,0,0,0,1
6,Nigel Williams-Goss,2,3,0,14,50.0%,-,0,3,1,0,0,3
7,Vincent Poirier,2,2,2,20,25.0%,-,0,2,1,0,0,2
8,Fabien Causeur,2,0,0,9,33.3%,-,0,0,3,0,0,-3
9,Guerschon Yabusele,0,1,1,12,0.0%,-,0,1,0,0,0,-1
10,Anthony Randolph,0,0,0,3,0.0%,-,0,0,0,0,0,-1
11,Alberto Abalde,0,2,0,14,0.0%,-,0,2,2,0,0,-3
