,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Guerschon Yabusele,18,10,1,36,54.5%,75.0%,1,9,2,1,1,23
1,Vincent Poirier,10,14,1,24,44.4%,100.0%,8,6,2,0,1,19
2,Thomas Heurtel,10,0,9,27,37.5%,100.0%,0,0,1,0,0,13
3,Trey Thompkins,9,3,0,12,33.3%,100.0%,0,3,2,0,0,4
4,Sergio Llull,9,1,0,21,37.5%,100.0%,1,0,2,0,0,3
5,Walter Tavares,8,6,0,20,100.0%,100.0%,3,3,2,1,4,17
6,Gabriel Deck,7,6,2,25,50.0%,100.0%,1,5,2,1,0,12
7,Rudy Fernandez,6,7,5,28,25.0%,-,0,7,0,1,0,13
8,Alberto Abalde,6,4,1,25,33.3%,-,1,3,2,0,0,5
9,Jeffery Taylor,6,2,1,18,66.7%,-,1,1,3,0,0,5
10,Carlos Alocen,1,0,1,8,0.0%,50.0%,0,0,1,0,0,-3
11,Anthony Randolph,0,0,0,5,0.0%,-,0,0,0,0,0,-1
