,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Gabriel Deck,15,7,2,20,100.0%,66.7%,1,6,1,0,0,22
1,Nigel Williams-Goss,14,4,4,24,66.7%,100.0%,1,3,2,1,0,19
2,Walter Tavares,13,4,0,19,75.0%,100.0%,2,2,0,1,3,19
3,Guerschon Yabusele,13,1,2,21,60.0%,83.3%,1,0,2,1,1,13
4,Anthony Randolph,13,0,0,18,57.1%,100.0%,0,0,0,1,2,13
5,Alberto Abalde,10,1,4,23,33.3%,100.0%,0,1,3,2,0,8
6,Vincent Poirier,4,8,1,21,33.3%,0.0%,2,6,0,1,2,10
7,Rudy Fernandez,3,4,1,13,20.0%,-,1,3,0,2,0,6
8,Fabien Causeur,3,1,2,17,20.0%,50.0%,0,1,0,0,0,1
9,Sergio Llull,2,4,7,15,0.0%,100.0%,0,4,2,0,0,8
10,Juan Nunez,0,0,1,6,0.0%,-,0,0,0,0,0,0
