,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Adam Hanga,20,1,2,24,54.5%,60.0%,0,1,1,2,1,18
1,Guerschon Yabusele,17,5,0,31,100.0%,-,0,5,1,3,0,24
2,Vincent Poirier,16,8,1,20,100.0%,100.0%,5,3,1,0,2,26
3,Fabien Causeur,11,2,4,24,44.4%,50.0%,1,1,1,0,0,10
4,Sergio Llull,10,1,6,20,40.0%,66.7%,0,1,2,1,0,9
5,Walter Tavares,7,5,0,17,100.0%,100.0%,0,5,0,0,1,13
6,Anthony Randolph,6,0,0,7,100.0%,100.0%,0,0,1,0,0,5
7,Alberto Abalde,5,0,1,19,33.3%,-,0,0,0,0,0,2
8,Nigel Williams-Goss,4,2,2,23,20.0%,100.0%,0,2,0,1,0,5
9,Gabriel Deck,3,1,1,14,100.0%,-,0,1,2,0,0,3
