,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Guerschon Yabusele,16,9,3,33,45.5%,60.0%,2,7,2,1,0,19
1,Nigel Williams-Goss,13,3,3,31,62.5%,100.0%,0,3,3,2,0,15
2,Walter Tavares,10,14,0,28,50.0%,66.7%,7,7,0,1,2,22
3,Sergio Llull,8,0,2,23,30.0%,-,0,0,1,0,0,2
4,Adam Hanga,7,7,2,23,42.9%,-,2,5,1,1,1,13
5,Alberto Abalde,7,3,2,28,20.0%,100.0%,2,1,1,2,0,5
6,Vincent Poirier,5,2,0,12,50.0%,50.0%,2,0,0,0,1,5
7,Anthony Randolph,3,2,0,7,33.3%,-,0,2,1,0,0,2
8,Juan Nunez,2,2,1,9,100.0%,-,0,2,3,0,0,2
9,Fabien Causeur,0,0,1,6,0.0%,-,0,0,2,1,0,-3
