,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Walter Tavares,12,12,0,20,66.7%,-,6,6,4,1,2,20
1,Vincent Poirier,10,3,0,16,100.0%,66.7%,0,3,1,1,0,12
2,Trey Thompkins,7,6,0,22,37.5%,-,0,6,1,2,0,9
3,Sergio Llull,6,2,4,21,27.3%,-,0,2,3,1,0,2
4,Gabriel Deck,4,2,0,27,33.3%,-,1,1,1,0,0,1
5,Alberto Abalde,3,1,2,14,50.0%,100.0%,0,1,2,0,0,3
6,Guerschon Yabusele,3,2,0,18,14.3%,50.0%,0,2,1,0,0,-3
7,Adam Hanga,2,0,3,18,25.0%,-,0,0,0,1,0,3
8,Anthony Randolph,0,1,0,4,-,-,0,1,0,0,0,1
9,Jeffery Taylor,0,0,1,17,0.0%,-,0,0,0,0,0,0
10,Nigel Williams-Goss,0,3,2,15,0.0%,-,0,3,0,1,0,-1
11,Juan Nunez,0,0,0,7,0.0%,-,0,0,1,0,0,-3
