,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Fabien Causeur,16,4,2,27,50.0%,100.0%,3,1,2,2,0,17
1,Gabriel Deck,15,5,1,18,62.5%,100.0%,2,3,1,0,0,17
2,Anthony Randolph,13,3,0,19,66.7%,-,1,2,1,0,0,12
3,Thomas Heurtel,12,2,3,23,45.5%,-,1,1,1,1,0,11
4,Walter Tavares,8,7,0,25,80.0%,-,3,4,0,0,2,16
5,Trey Thompkins,8,1,0,17,42.9%,-,0,1,2,0,0,3
6,Alberto Abalde,5,3,0,22,20.0%,75.0%,0,3,0,0,0,3
7,Guerschon Yabusele,3,0,1,5,25.0%,-,0,0,1,0,0,0
8,Vincent Poirier,2,2,0,14,50.0%,-,1,1,3,0,4,4
9,Carlos Alocen,1,0,3,17,0.0%,50.0%,0,0,0,1,0,0
10,Jeffery Taylor,0,2,0,13,0.0%,-,1,1,2,0,0,-2
