,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Nigel Williams-Goss,3,1,1,12,100.0%,-,0,1,2,2,0,4
1,Fabien Causeur,6,2,1,28,16.0%,67.0%,0,2,0,1,0,4
2,Juan Nunez,0,0,0,0,-,-,0,0,0,0,0,0
3,Thomas Heurtel,12,4,10,23,50.0%,80.0%,1,3,3,0,0,18
4,Alberto Abalde,11,4,0,25,27.0%,100.0%,0,4,0,3,0,10
5,Adam Hanga,5,0,0,14,50.0%,-,0,0,0,0,0,2
6,Vincent Poirier,2,1,0,9,100.0%,-,0,1,0,0,0,4
7,Walter Tavares,11,11,1,28,60.0%,83.0%,4,7,0,4,5,22
8,Sergio Llull,6,2,2,16,25.0%,50.0%,0,2,0,0,0,2
9,Guerschon Yabusele,17,5,1,29,71.0%,75.0%,0,5,5,3,1,21
10,Trey Thompkins,0,0,0,12,0.0%,-,0,0,0,0,0,0
11,Jeffery Taylor,0,0,0,0,-,-,0,0,0,0,0,0
