,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Fabien Causeur,17,3,0,29,66.7%,50.0%,0,3,2,0,0,14
1,Guerschon Yabusele,15,6,1,32,75.0%,50.0%,2,4,1,1,0,19
2,Sergio Llull,12,0,5,28,28.6%,33.3%,0,0,3,1,0,3
3,Rudy Fernandez,10,6,1,25,44.4%,-,0,6,1,1,0,12
4,Walter Tavares,5,8,1,17,33.3%,75.0%,3,5,2,0,3,12
5,Nigel Williams-Goss,5,0,2,9,40.0%,-,0,0,2,0,0,2
6,Adam Hanga,4,3,1,14,66.7%,0.0%,0,3,0,1,0,6
7,Anthony Randolph,4,2,0,11,100.0%,-,0,2,0,0,0,6
8,Vincent Poirier,3,4,2,18,100.0%,-,0,4,3,1,1,8
9,Jeffery Taylor,0,1,2,14,0.0%,-,0,1,0,0,0,2
10,Juan Nunez,0,0,0,3,0.0%,-,0,0,0,0,0,-1
