,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Thomas Heurtel,18,4,0,19,75.0%,100.0%,2,2,4,0,0,16
1,Sergio Llull,15,0,5,27,54.5%,-,0,0,0,1,0,16
2,Walter Tavares,12,12,2,30,45.5%,50.0%,8,4,0,2,1,21
3,Gabriel Deck,12,3,0,23,57.1%,100.0%,0,3,3,0,0,9
4,Rudy Fernandez,9,4,6,23,75.0%,-,0,4,0,0,1,19
5,Trey Thompkins,8,2,2,21,37.5%,-,0,2,0,0,0,7
6,Vincent Poirier,6,0,0,8,60.0%,-,0,0,1,0,0,3
7,Jeffery Taylor,4,2,0,17,40.0%,-,0,2,0,0,0,3
8,Fabien Causeur,2,0,0,10,33.3%,-,0,0,0,0,0,0
9,Guerschon Yabusele,0,6,1,15,0.0%,-,1,5,2,1,0,3
10,Nigel Williams-Goss,0,0,1,7,0.0%,-,0,0,0,0,0,-2
