,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Thomas Heurtel,21,4,6,28,57.1%,100.0%,0,4,0,2,0,27
1,Gabriel Deck,16,10,2,27,58.3%,100.0%,2,8,0,0,0,23
2,Walter Tavares,14,8,1,20,83.3%,66.7%,4,4,1,0,2,21
3,Guerschon Yabusele,14,2,4,29,71.4%,66.7%,0,2,1,2,1,19
4,Vincent Poirier,8,7,0,20,40.0%,100.0%,4,3,0,0,3,15
5,Jeffery Taylor,6,2,0,22,30.0%,-,2,0,1,1,0,1
6,Adam Hanga,5,4,1,6,50.0%,-,0,4,1,0,0,7
7,Nigel Williams-Goss,4,2,0,10,20.0%,100.0%,1,1,1,0,0,1
8,Rudy Fernandez,2,0,1,8,50.0%,-,0,0,0,1,0,3
9,Fabien Causeur,2,1,1,14,25.0%,-,0,1,1,0,0,0
10,Sergio Llull,0,0,6,16,0.0%,-,0,0,1,0,0,3
11,Juan Nunez,0,0,0,1,0.0%,-,0,0,0,0,0,-1
