,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Sergio Llull,18,3,6,22,53.8%,75.0%,1,2,1,1,0,20
1,Guerschon Yabusele,16,8,2,36,85.7%,40.0%,2,6,1,0,0,21
2,Vincent Poirier,14,6,0,25,80.0%,75.0%,1,5,1,0,2,18
3,Walter Tavares,9,3,1,15,75.0%,75.0%,0,3,2,1,2,12
4,Nigel Williams-Goss,9,3,1,14,75.0%,100.0%,0,3,3,0,0,9
5,Adam Hanga,8,10,4,25,44.4%,-,2,8,0,2,1,20
6,Alberto Abalde,6,2,3,21,28.6%,50.0%,1,1,0,0,0,5
7,Fabien Causeur,4,2,5,28,40.0%,-,1,1,1,1,1,9
8,Rudy Fernandez,3,1,3,9,50.0%,-,1,0,1,1,1,7
9,Anthony Randolph,0,0,0,4,0.0%,-,0,0,1,0,0,-2
