,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Thomas Heurtel,20,2,3,25,66.7%,50.0%,1,1,1,0,0,19
1,Walter Tavares,11,9,0,29,57.1%,100.0%,3,6,2,0,4,19
2,Guerschon Yabusele,11,9,1,32,33.3%,100.0%,3,6,1,3,1,18
3,Sergio Llull,8,4,4,22,22.2%,100.0%,1,3,1,0,0,8
4,Rudy Fernandez,8,1,1,19,30.0%,-,0,1,0,0,0,3
5,Nigel Williams-Goss,6,3,3,15,25.0%,100.0%,1,2,2,1,0,8
6,Fabien Causeur,5,3,0,23,50.0%,-,1,2,1,0,0,5
7,Vincent Poirier,3,3,1,11,25.0%,50.0%,3,0,0,1,0,4
8,Alberto Abalde,2,6,2,20,16.7%,-,0,6,0,0,0,5
9,Anthony Randolph,1,2,0,4,0.0%,50.0%,1,1,0,0,0,0
