,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Sergio Llull,13,2,0,27,50.0%,100.0%,0,2,2,0,0,9
1,Guerschon Yabusele,13,4,1,29,33.3%,62.5%,1,3,3,0,1,7
2,Fabien Causeur,11,1,1,35,38.5%,-,1,0,4,2,0,3
3,Walter Tavares,6,10,1,22,75.0%,0.0%,6,4,0,0,6,20
4,Thomas Heurtel,5,2,4,15,28.6%,-,0,2,0,0,0,6
5,Nigel Williams-Goss,4,6,1,16,50.0%,-,0,6,0,0,1,10
6,Vincent Poirier,4,4,0,14,50.0%,-,2,2,0,0,0,6
7,Gabriel Deck,3,0,0,17,20.0%,50.0%,0,0,0,0,0,-2
8,Jeffery Taylor,0,0,0,7,0.0%,-,0,0,1,1,0,-1
9,Rudy Fernandez,0,3,2,18,0.0%,0.0%,1,2,2,1,0,-3
