,Player,Points,Rebounds,Assists,Minutes,Field_percentage,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Turnovers,Steals,Blocked_shots,Valoration
0,Sergio Llull,20,1,1,24,54.5%,100.0%,0,1,2,0,0,15
1,Walter Tavares,11,11,2,24,57.1%,100.0%,3,8,3,0,0,18
2,Guerschon Yabusele,8,4,0,23,33.3%,50.0%,2,2,3,1,1,4
3,Trey Thompkins,6,4,1,16,66.7%,-,2,2,2,1,1,10
4,Alberto Abalde,5,5,0,21,12.5%,100.0%,1,4,0,0,0,3
5,Adam Hanga,4,5,5,22,33.3%,-,3,2,1,0,0,9
6,Vincent Poirier,4,3,3,14,50.0%,-,1,2,1,0,1,8
7,Thomas Heurtel,2,4,5,20,14.3%,-,1,3,2,1,0,4
8,Nigel Williams-Goss,2,3,1,15,33.3%,-,0,3,1,0,0,3
9,Rudy Fernandez,0,2,2,20,0.0%,-,1,1,1,1,0,-3
